id,slug,name,description,module,is_system
1,sto.view,Перегляд реєстру СТО,Перегляд списку та карток СТО,sto,1
2,sto.edit,Редагування СТО,Зміна полів запису СТО,sto,1
3,sto.delete,Видалення СТО,Видалення запису СТО,sto,1
4,analytics.view,Перегляд аналітики,Доступ до відвідувань і статистики,analytics,1
5,logs.view,Перегляд логів помилок,Доступ до журналу помилок,logs,1
6,system.monitoring.view,Моніторинг системи,Перегляд системних метрик,system,1
7,api.documentation.view,Перегляд API-документації,Доступ до Dev Tools / API Docs,dev,1
8,role.view,Перегляд ролей,Перегляд списку ролей та їх прав,role,1
9,role.edit,Редагування ролей,"Створення, зміна, призначення прав та ієрархії ролей",role,1
10,role.delete,Видалення ролей,Видалення несистемних ролей,role,1
11,permission.view,Перегляд прав доступу,Перегляд каталогу прав доступу,permission,1
12,permission.edit,Редагування прав доступу,Редагування опису права доступу,permission,1
13,sto.edit.rating,Редагування рейтингу СТО,Зміна поля "Рейтинг" у записі СТО — демонстрація прав на рівні окремого поля,sto,1
14,sto.create,Створення СТО,Додавання нового запису СТО,sto,1
